Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03,12.484244383834417,12.578775504951484,12.47204650461506,12.540047645568848,302220800,0.0,0.0
2012-01-04,12.502535938490615,12.64524864102466,12.480580576557832,12.60743522644043,260022000,0.0,0.0
2012-01-05,12.653483837218708,12.763261478834615,12.583956748969731,12.747405052185059,271269600,0.0,0.0
2012-01-06,12.800462967422137,12.891334698510027,12.783691295481626,12.880661964416504,318292800,0.0,0.0
2012-01-09,12.975196270857005,13.043807298624323,12.848645322833534,12.860233306884766,394024400,0.0,0.0
2012-01-10,12.987700285984266,12.990445216171196,12.853221506600777,12.906281471252441,258196400,0.0,0.0
2012-01-11,12.889198734940056,12.894383238875355,12.786434489589565,12.885234832763672,215084800,0.0,0.0
2012-01-12,12.877005786383602,12.895911684107563,12.76936154245576,12.849865913391113,212587200,0.0,0.0
2012-01-13,12.798333091388129,12.821202894662584,12.76661860381662,12.80168628692627,226021600,0.0,0.0
2012-01-17,12.935552595255313,12.990137689521958,12.897739989564851,12.950799942016602,242897200,0.0,0.0
2012-01-18,13.019717091185184,13.09625674076179,12.999591406547,13.08527946472168,276791200,0.0,0.0
2012-01-19,13.116992667352237,13.154194565773606,13.005994423140342,13.043807029724121,261738400,0.0,0.0
2012-01-20,13.035876990639824,13.036181530410339,12.799852968548693,12.816624641418457,413974400,0.0,0.0
2012-01-23,12.888896147532474,13.065152208206234,12.877613518757727,13.033437728881836,306062400,0.0,0.0
2012-01-24,12.962995956080999,12.962995956080999,12.793754095606987,12.819978713989258,547638000,0.0,0.0
2012-01-25,13.857691131146439,13.857995670946744,13.531100695032265,13.620448112487793,958314000,0.0,0.0
2012-01-26,13.672291310843248,13.685402810715807,13.513113044721798,13.558548927307129,323985200,0.0,0.0
2012-01-27,13.549703829857014,13.675949436374372,13.532323073464386,13.63935661315918,299709200,0.0,0.0
2012-01-30,13.591476749169962,13.841222966187516,13.581719262697373,13.814083099365234,379341200,0.0,0.0
2012-01-31,13.892758163960671,13.973567063377535,13.81591316742935,13.91989803314209,391683600,0.0,0.0
2012-02-01,13.978753929105073,13.996440038431187,13.89154154175406,13.911056518554688,270046000,0.0,0.0
2012-02-02,13.902214463051045,13.940941508170932,13.843666271330902,13.878429412841797,186796400,0.0,0.0
2012-02-03,13.944901173829662,14.02723438112215,13.89184123580457,14.017476081848145,286599600,0.0,0.0
2012-02-06,13.977837407700965,14.179097496432325,13.972349177222217,14.148298263549805,249412800,0.0,0.0
2012-02-07,14.18733164621218,14.324555323983857,14.166899794450114,14.296500205993652,316223600,0.0,0.0
2012-02-08,14.347422224262855,14.539228514622316,14.32302647441709,14.53587532043457,407890000,0.0,0.0
2012-02-09,14.660293349587306,15.147892505402417,14.6541944108936,15.038723945617676,884214800,0.0,0.0
2012-02-10,14.971331215138191,15.174420153434808,14.89783941834968,15.046345710754395,631302000,0.0,0.0
2012-02-13,15.232668806897054,15.363793576077326,15.158263366309988,15.326286315917969,517216000,0.0,0.0
2012-02-14,15.389101577844974,15.538521525369125,15.307988124696903,15.535472869873047,460398400,0.0,0.0
2012-02-15,15.681843489133255,16.048685322981186,15.152162419187489,15.175949096679688,1506120000,0.0,0.0
2012-02-16,14.987802535693076,15.39611721257997,14.839296193726122,15.314393043518066,944552000,0.0,0.0
2012-02-17,15.34183498880548,15.483937827897277,15.256146929605029,15.311646461486816,535805200,0.0,0.0
2012-02-21,15.456796461569319,15.699833869934082,15.37263273815128,15.699833869934082,605595200,0.0,0.0
2012-02-22,15.645856895420454,15.719347060899704,15.523575227087898,15.644637107849121,483302400,0.0,0.0
2012-02-23,15.706847870874356,15.790707062208053,15.53669154111849,15.746794700622559,568027600,0.0,0.0
2012-02-24,15.846814453259274,15.945309462315564,15.81540614068223,15.930367469787598,415072000,0.0,0.0
2012-02-27,15.896824754449463,16.116077128741544,15.743440920086206,16.03252410888672,547582000,0.0,0.0
2012-02-28,16.099613452773145,16.326793670654297,16.035270858411458,16.326793670654297,600387200,0.0,0.0
2012-02-29,16.51433069272205,16.698819949905495,16.335635835251352,16.54116439819336,952011200,0.0,0.0
2012-03-01,16.715895336838113,16.717116753302587,16.429251692400427,16.60306739807129,683270000,0.0,0.0
