,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,price
2031,93.17107064383369,93.8288327171689,92.79371901598678,93.2703101549841,0.4765911389973212,0.9884307161410795,95.80569414945106,91.85197128488673,93.27553940399285,92.53399658203124,93.53399658203124
2032,94.03721291678292,94.21188027518136,93.35981368215646,94.37272351718306,1.0129098350266048,1.7583128521189826,97.72850597941932,90.69525457094339,98.04917780751585,99.43599700927734,100.43599700927734
2033,94.89164188929965,94.46471368698846,93.86723482306877,95.2707659121507,1.4035310890819233,2.21075984199025,98.88623337096897,90.04319400300795,99.48972532548704,99.20999908447266,100.20999908447266
2034,96.23471287318637,94.8806660970052,94.50547651170285,96.38041694407043,1.8749404323675805,2.8421832933834024,100.565032683772,89.1962995102384,101.48557352158161,101.4834976196289,102.4834976196289
2035,97.74564143589565,95.20683288574219,95.06014490015889,97.24396814588412,2.183823245725236,3.2591929250920617,101.7252187359263,88.68844703555807,101.82419101110013,100.99349975585938,101.99349975585938
2036,99.15264129638672,95.54818979899089,95.61209694441072,98.05435727691098,2.442260332500254,3.640340272590008,102.82887034417091,88.26750925381087,102.28239533540578,101.5114974975586,102.5114974975586
2037,100.73321206229073,95.9941656930106,96.23075619943268,98.96353260157191,2.732776402139237,4.0881891063487314,104.17054390570806,87.81778748031314,103.40346303660662,102.96399688720705,103.96399688720705
2038,102.6134272984096,96.54859452020554,97.00592264650162,100.1530665451552,3.1471438986535816,4.699717538172304,105.94802959655014,87.14915944386094,105.59815650211107,105.69550323486328,106.69550323486328
2039,103.62828499930245,97.18583279564267,97.78622474050351,101.28951798675092,3.5032932462474093,5.2566579428182445,107.69914868127915,86.67251691000618,106.89271944438859,106.54000091552734,107.54000091552734
2040,104.74114227294922,97.82559458414714,98.5428006856514,102.3218998349431,3.779099149291696,5.68381626659271,109.19322711733255,86.45796205096173,107.63090648146287,107.0,108.0
2041,105.45685686383929,98.49328504289899,99.20581543159273,103.11753059200713,3.9117151604144027,5.930887212570826,110.35505946804064,86.63151061775734,107.53930199772721,106.49349975585938,107.49349975585938
2042,106.13542829241071,99.14292798723493,99.76416241857544,103.67537200183055,3.911209583255115,6.070179272917054,111.28328653306903,87.00256944140082,107.00876716981531,105.74349975585938,106.74349975585938
2043,106.88857160295758,99.80418977283296,100.35818747433925,104.30739179714689,3.9492043228076454,6.1629160576688395,112.13002188817063,87.47835765749528,107.52525617086292,106.78350067138672,107.78350067138672
2044,107.53814370291573,100.53157079787482,100.96209963082626,104.9541009955726,3.9920013647463435,6.289344816111314,113.11026043009745,87.95288116565219,108.18241978156368,107.51100158691406,108.51100158691406
2045,107.67521449497768,101.15323747907367,101.45786993812038,105.36962373153018,3.911753793409801,6.273073893802093,113.69938526667785,88.60708969146948,107.83080578005247,106.65499877929688,107.65499877929688
2046,107.2835715157645,101.64968981061664,101.70532402129925,105.28175855145403,3.576434530154785,6.070933313358256,113.79155643733314,89.50782318390013,105.80926863404092,103.79850006103516,104.79850006103516
2047,106.20707157679966,101.94661857968285,101.6134111624805,104.54064191696051,2.927230754480007,5.712702284712424,113.37202314910769,90.521214010258,102.24608982951104,99.4645004272461,100.4645004272461
2048,104.94185747419085,102.21114240373883,101.39293633841511,103.63238947398162,2.2394531355665066,5.186715832512336,112.5845740687635,91.83771073871416,99.84003063490212,97.63700103759766,98.63700103759766
2049,103.8327146257673,102.57126145135788,101.21416326274692,102.91656029596822,1.7023970332213025,4.710522530586957,111.9923065125318,93.15021639018397,99.26634342289704,97.97949981689452,98.97949981689452
2050,101.89435686383929,102.6451899210612,100.69570645349832,101.57785814857166,0.8821516950733468,4.568172893158194,111.78153570737759,93.50884413474482,95.89877869955943,93.21499633789062,94.21499633789062
2051,99.848142351423,102.70649937220982,100.21361708657251,100.44087997186833,0.22726288529581495,4.49769729426065,111.70189396073113,93.71110478368851,94.75792623318648,93.1875,94.1875
2052,98.42564283098493,102.9047615414574,100.027238201362,100.01882184330866,-0.008416358053338513,4.625035578088276,112.15483269763396,93.65469038528084,96.71764350188248,96.69750213623048,97.69750213623048
2053,97.09007154192243,102.6673093523298,99.68814655960168,99.31584941166082,-0.37229714794085567,4.892472360379935,112.45225407308966,92.88236463156993,95.87221519235926,94.44950103759766,95.44950103759766
2054,96.8510709490095,102.59976159958612,99.62172802013899,99.23517969861385,-0.3865483215251402,4.973631872038529,112.54702534366318,92.65249785550905,97.81840258202341,97.79149627685548,98.79149627685548
2055,96.50314222063336,102.30061885288784,99.36837779190387,98.76845973559092,-0.5999180563129443,5.1756689973289385,112.65195684754572,91.94928085822995,96.74046748665103,95.20149993896484,96.20149993896484
2056,95.9424274989537,101.9701901390439,99.04883104918038,98.19708081705951,-0.8517502321208639,5.423506018265719,112.81720217557533,91.12317810251245,95.61648700564149,94.05449676513672,95.05449676513672
2057,95.34464263916017,101.37585703531902,98.38080669882153,96.94068412510204,-1.440122573719492,6.013114917011779,113.40208686934257,89.34962720129546,91.89249721477113,89.03050231933594,90.03050231933594
2058,95.40228598458428,100.92952401297433,98.10008052986947,96.57919478554307,-1.5208857443264066,6.0448773980513115,113.01927880907695,88.8397692168717,93.69150135023621,93.59100341796876,94.59100341796876
2059,94.45164271763393,100.18416668119885,97.57733376969975,95.72747239816384,-1.8498613715359085,6.178040862232733,112.54024840566431,87.82808495673338,91.92583329513081,90.04299926757812,91.04299926757812
2060,92.79178510393415,99.05514272054036,96.55904961947749,93.89716860486159,-2.6618810146159007,6.8231953432232135,112.70153340698678,85.40875203409394,86.52894292617641,82.83049774169922,83.83049774169922
2061,91.42871420724052,98.16228557768322,96.01763853655324,93.18221958872904,-2.835418947824195,6.792174441114381,111.74663445991199,84.57793669545445,88.34298097539214,88.25,89.25
2062,89.7509994506836,97.06533304850261,95.16133172962829,91.83995452016556,-3.3213772094627245,7.052786677855632,111.17090640421387,82.95975969279135,85.75265808717499,83.4574966430664,84.4574966430664
2063,89.08492824009487,96.28669012160529,94.80804777121253,91.61719202337326,-3.190855747839265,6.660146491400918,109.60698310440712,82.96639713880346,88.84555155640209,89.39199829101562,90.39199829101562
2064,89.29485648018974,95.51128532772972,94.56300719556715,91.59916248131584,-2.9638447142513087,5.992302742381469,107.49589081249266,83.52667984296679,90.61518385213402,90.5,91.5
2065,89.21707044328961,94.82249959309895,94.52474748920426,91.97567612413924,-2.549071365065018,5.180793203269683,105.18408599963831,84.4609131865596,92.90272872382332,93.04650115966795,94.04650115966795
2066,89.39728437151227,94.09152330671039,94.36028447260666,92.02626391506192,-2.334020557544747,4.547721027646313,103.18696536200301,84.99608125141776,92.50390741803226,91.30449676513672,92.30449676513672
2067,91.01314217703683,93.6316662742978,94.4181524657744,92.50553137126333,-1.912621094511067,4.269383944166418,102.17043416263064,85.09289838596496,94.26230405959149,94.1415023803711,95.1415023803711
2068,92.12099892752511,93.46692802792504,94.60977059819244,93.1977568915948,-1.4120137065976337,4.176392543410242,101.81971311474553,85.11414294110455,96.09076618880913,96.00499725341795,97.00499725341795
2069,93.52592795235769,93.26002320789155,94.5862320218,93.36610195702553,-1.220130064774466,3.9614791897726143,101.18298158743679,85.33706482834631,94.89158860753271,93.29199981689452,94.29199981689452
2070,94.580570765904,93.20264216831752,94.82239987098814,94.04431673068927,-0.778083140298861,4.097777863371206,101.39819789505994,85.00708644157511,96.8135281930708,96.77449798583984,97.77449798583984
2071,95.08128465924942,93.24026125953311,94.83592560301997,94.192113734186,-0.6438118688339785,4.112700280995261,101.46566182152364,85.01486069754259,95.60784089996889,94.00499725341795,95.00499725341795
2072,95.67428479875835,93.43121374221076,95.08493127214668,94.80832733450052,-0.27660393764615776,4.142932290047158,101.71707832230507,85.14534916211645,97.33428172414328,97.19750213623048,98.19750213623048
2073,96.41449955531527,93.42114221482049,95.26278821947174,95.22027698473661,-0.04251123473513019,4.224883321491892,101.87090885780428,84.9713755718367,97.4354272820712,96.48600006103516,97.48600006103516
2074,96.44928523472377,93.41807083856492,95.27184110219461,95.24561931573567,-0.02622178645894735,4.058052528793498,101.53417589615191,85.30196578097792,96.06847718484407,94.38500213623048,95.38500213623048
2075,96.29735674176898,93.28235662551154,95.32144530223461,95.3526775445047,0.031232242270093025,4.048164834538041,101.37868629458762,85.18602695643546,95.98382426343761,94.94149780273438,95.94149780273438
2076,96.44557080950055,93.24083273751395,95.32204181992209,95.34911150550639,0.027069685584294234,4.055483201419854,101.35179914035366,85.12986633467425,95.54760694848962,94.32949829101562,95.32949829101562
2077,96.74628557477679,93.47059486025856,95.65963141420738,96.04609455739363,0.38646314318624775,4.250038847098362,101.97067255445528,84.97051716606184,98.43553654467883,98.87950134277344,99.87950134277344
2078,97.54271480015346,93.9729519798642,96.02410329693681,96.74361875334148,0.7195154564046646,4.5226241218242755,103.01820022351276,84.92770373621565,99.8651800689294,99.58000183105467,100.58000183105467
2079,98.10735757010323,94.33290427071708,96.47787353611771,97.57536994911648,1.0974964129987654,4.820057661230538,103.97301959317815,84.69278894825601,101.3883943735624,101.1500015258789,102.1500015258789
2080,98.77192905970982,94.86123766217914,96.89714219924093,98.27731310898798,1.3801709097470507,4.40850803041198,103.6782537230031,86.04422160135518,101.88813178337496,101.13800048828124,102.13800048828124
2081,100.6374282836914,96.03328523181733,97.75242771811949,99.84134135439008,2.08891363627059,5.040177147017777,106.11363952585289,85.95293093778177,106.25837506385936,107.44349670410156,108.44349670410156
2082,103.24092864990234,97.21976143973214,98.96824791427441,102.04513504851637,3.0768871342419573,5.680895589868821,108.58155261946978,85.8579702599945,111.53012526542709,113.16600036621094,114.16600036621094
2083,106.1058578491211,98.69245220365978,100.18422974918349,104.09726853113645,3.913038781952963,6.622826387446741,111.93810497855327,85.4467994287663,114.09937687884029,114.38400268554688,115.38400268554688
2084,109.03871481759208,100.12185705275763,101.68239792495288,106.60684262204936,4.924444697096476,7.905658873271137,115.9331747992999,84.31053930621536,118.30612570766031,119.40950012207033,120.40950012207033
2085,111.63442884172711,101.41947610037667,102.94666474532674,108.47502068019561,5.52835593486887,8.723154355558645,118.86578481149397,83.97316738925937,118.60204190255344,117.75,118.75
2086,114.13878522600446,102.64014253162202,104.18620781721515,110.19893999336865,6.012732176153506,9.286380804827356,121.21290414127674,84.0673809219673,119.32101144473137,118.68049621582033,119.68049621582033
2087,116.1770706176758,103.78783307756696,105.09137747741998,111.15387202977047,6.062494552350486,9.534376889489451,122.85658685654586,84.71907929858806,117.37766930156413,115.40599822998048,116.40599822998048
2088,117.56721387590683,104.88464246477399,106.06049762810879,112.23396856545482,6.173470937346025,9.860715723464793,124.60607391170358,85.1632110178444,117.90888944166721,117.17449951171876,118.17449951171876
2089,118.39671434674946,105.97833324614025,107.09101659359031,113.4245124264786,6.333495832888289,10.0254158975103,126.02916504116085,85.92750145111965,119.28463225529532,118.97250366210938,119.97250366210938
2090,119.12914276123048,107.22685713995071,108.08508955605873,114.51474152808406,6.429651972025326,10.262727103860515,127.75231134767174,86.70140293222968,120.10221180970781,119.51100158691406,120.51100158691406
2091,118.8992146083287,108.22807166689918,108.87878685203646,115.17401253172618,6.295225679689722,10.091449279445323,128.41097022578984,88.04517310800854,119.23407263774114,117.8000030517578,118.8000030517578
2092,118.46407209123886,109.21373857770648,109.38435837265384,115.25554943151771,5.871191058863872,9.872113793997533,128.95796616570155,89.46951098971141,116.88069246616111,114.7040023803711,115.7040023803711
2093,118.31478663853237,110.18697647821335,110.06962797815171,115.77554152618806,5.705913548036349,9.6170895995641,129.42115567734155,90.95279727908516,118.0505628533037,117.635498046875,118.635498046875
2094,119.3567864554269,111.43526204427083,111.07928493889916,116.9946885141964,5.915403575297233,9.304026740190261,130.04331552465135,92.82720856389031,121.81685224992937,122.6999969482422,123.6999969482422
2095,118.80357251848493,112.33607155936105,111.31800471773072,116.58042904326234,5.262424325531626,8.480846325057449,129.29776420947593,95.37437890924615,116.80695205205978,113.302001953125,114.302001953125
2096,118.20742906842914,113.2816906883603,111.64996729506316,116.46028603840948,4.810318743346315,7.380027778671351,128.041746245703,98.5216351310176,116.13531702516578,114.79949951171876,115.79949951171876
2097,117.54728589739118,114.26076216924758,111.96404374651392,116.37254963090778,4.408505884393861,6.5712965506478795,127.40335527054334,101.11816906795183,115.97177193482088,114.88999938964844,115.88999938964844
2098,117.37057168143136,115.10283370245071,112.37878150899728,116.55569638615876,4.1769148771614795,5.644529761509522,126.39189322546976,103.81377417943166,117.03259300496633,116.56300354003906,117.56300354003906
2099,117.75292859758649,115.95047651018415,112.82335330784615,116.8364355257431,4.013082217896951,4.654246006994565,125.25896852417327,106.64198449619502,117.93119819729348,117.38050079345705,118.38050079345705
2100,117.80221448625836,116.7519287835984,113.27943819375221,117.16629148602541,3.8868532922732015,3.183408628873474,123.11874604134535,110.38511152585146,118.63073224414991,117.98049926757812,118.98049926757812
2101,117.33792877197266,117.62392861502511,113.81059069408481,117.67147694175107,3.860886247666258,2.4326655104604273,122.48925963594596,112.75859759410426,119.84357538021145,119.4499969482422,120.4499969482422
2102,117.84442901611328,118.07173847016834,114.10962128430886,117.69855797565235,3.5889366913434912,2.2533557886890736,122.57845004754648,113.5650268927902,118.51286090147674,116.84750366210938,117.84750366210938
2103,118.21535818917411,118.27316720145089,114.42713109459298,117.80585732142038,3.3787262268273963,2.148755355397148,122.57067791224519,113.97565649065659,118.43495611592192,117.39600372314452,118.39600372314452
2104,118.72285788399833,118.46642884753999,114.79863969895038,118.05764808018924,3.259008381238857,2.1121438934037364,122.69071663434747,114.24214106073251,119.10665020758593,118.44249725341795,119.44249725341795
2105,119.14085715157645,118.47021448044549,115.22014775184931,118.43170197755796,3.211554225708653,2.1638045655941145,122.79782361163372,114.14260534925727,120.02821567791926,119.48899841308594,120.48899841308594
2106,119.55978611537388,118.5922622680664,115.67147040282633,118.8749791410166,3.2035087381902656,2.2418042863166048,123.07587084069962,114.10865369543319,120.88474091933246,120.31300354003906,121.31300354003906
2107,120.0577861240932,118.72492908296131,116.17480587881055,119.42752070833916,3.252714829528614,2.345668412057427,123.41626590707617,114.03359225884645,121.93924652551966,121.46649932861328,122.46649932861328
2108,120.69307272774833,119.12926265171596,116.82089456733036,120.26897954918361,3.448084981853256,2.7000396358486385,124.52934192341324,113.72918338001868,123.91108429105863,123.89700317382812,124.89700317382812
2109,121.33442905970982,119.32747686476935,117.22949482055327,120.58713623174611,3.3576414111928443,2.787068657844522,124.9016141804584,113.75333954908031,122.86169342091277,121.33699798583984,122.33699798583984
2110,121.82700020926339,119.41659582228888,117.57131015014336,120.78050016071124,3.2091900105678803,2.833229390526786,125.08305460334246,113.7501370412353,122.18323232031726,120.84400177001952,121.84400177001952
2111,122.06278664725167,119.4443101428804,117.83217623675021,120.82857741588427,2.996401179134054,2.8556020084797433,125.15551415983988,113.73310612592091,121.45641231966304,120.09300231933594,121.09300231933594
2112,122.06714412144252,119.52619098481678,118.03123731050367,120.78102715689005,2.7497898463863777,2.720595999320994,124.96738298345876,114.0849989861748,120.8318045948356,119.51950073242188,120.51950073242188
2113,121.88742937360492,119.73338136218842,118.18114568047937,120.66933071816477,2.4881850376853976,2.7093814088893873,125.1521441799672,114.31461854440965,120.31393506839572,119.05500030517578,120.05500030517578
2114,121.83771514892578,119.89923858642578,118.47280153791493,120.89227980088702,2.419478262972092,2.6104801793799273,125.12019894518563,114.67827822766593,121.51697819337149,121.11849975585938,122.11849975585938
2115,121.64557211739677,119.89219120570591,118.84903860570827,121.30146782430825,2.452429218599974,2.414089425592455,124.72037005689083,115.064012354521,122.87366069987382,122.552001953125,123.552001953125
2116,121.8289293561663,120.33592914399647,119.20248009100592,121.65824179860337,2.4557617075974463,2.299294978591589,124.93451910117965,115.73733918681329,123.37155267144232,122.62049865722656,123.62049865722656
2117,122.12550027029855,120.72261955624535,119.55192587455699,122.00620431711751,2.454278442560522,2.1356726230889667,124.99396480242328,116.45127431006742,123.737183003111,122.91999816894533,123.91999816894533
2118,122.40221405029297,121.06261952718098,119.80956090453772,122.1637111574528,2.354150252915076,2.024394464689295,125.11140845655957,117.0138305978024,123.26572685390158,122.02999877929688,123.02999877929688
2119,122.92085702078683,121.37628609793526,120.13107502463706,122.46929429105681,2.338219266419756,2.0068303378520898,125.38994677363944,117.36262542223109,123.85524330188646,123.1500015258789,124.1500015258789
2120,123.79914311000279,121.74878619966053,120.5808474620482,123.0437110046923,2.462863542644101,2.1680145894372935,126.08481537853511,117.41275702078595,125.42041638708714,125.2030029296875,126.2030029296875
2121,124.93121446881976,122.27557191394624,121.28174759579116,124.12052458359781,2.8387769878066536,2.8018384177622044,127.87924874947065,116.67189507842183,128.50213830741447,129.04299926757812,130.04299926757812
2122,126.19128526960101,122.8433100382487,122.10328463007284,125.39005888744335,3.28677425737051,3.389576685169448,129.6224634085876,116.0641566679098,131.08237780820068,131.37249755859375,132.37249755859375
2123,126.80235726492745,123.32190522693452,122.53252300003128,125.77589638545386,3.2433733854225864,3.36237182767781,130.04664888229013,116.5971615715789,128.95946101907472,126.89800262451172,127.89800262451172
2124,127.27821459089007,123.74357169015067,122.88203977415368,126.00283531856613,3.120795544412445,3.311052388257751,130.36567646666617,117.12146691363517,127.82048664014731,126.2509994506836,127.2509994506836
2125,128.0787865774972,124.18126242501395,123.30811110092355,126.40763029810162,3.0995191971780685,3.362346273900593,130.90595497281515,117.45656987721277,128.36283067041367,127.63400268554688,128.63400268554688
2126,129.02357264927454,124.67052459716797,123.86036242887887,127.07776471813526,3.217402289256384,3.5684738008595622,131.8074721988871,117.53357699544884,129.96327957568477,129.7635040283203,130.7635040283203
2127,129.8587145124163,125.18176233200799,124.46692787649374,127.84256952637286,3.375641649879114,3.8642876173292966,132.91033756666658,117.4531870973494,131.3537571730147,131.0489959716797,132.0489959716797
2128,130.23814392089844,125.66902451288132,125.07671137652777,128.58971346492368,3.5130020883959077,4.1989190213549445,134.0668625555912,117.27118647017143,132.250589142307,131.69900512695312,132.69900512695312
2129,130.43500191824776,126.09061976841518,125.71921449975082,129.38368116878758,3.6644666690367558,4.482720321080901,135.05606041057698,117.12517912625339,133.2505320741284,132.75050354003906,133.75050354003906
2130,131.54828643798828,126.72652435302734,126.45786485256151,130.35403702938876,3.8961721768272497,4.818547918150567,136.3636201893285,117.08942851672622,134.87750686650634,134.6909942626953,135.6909942626953
2131,133.11535862513952,127.50635782877605,127.32917151242674,131.56426283421237,4.235091321785632,5.223905491606569,137.95416881198918,117.05854684556292,137.10617212933025,137.2205047607422,138.2205047607422
2132,134.27050127301897,128.25050063360305,128.02478852785464,132.35745335521094,4.332664827356297,5.286810141029096,138.82412091566124,117.67688035154487,136.84872485691218,135.72000122070312,136.72000122070312
2133,135.26557268415178,129.07000078473772,128.74361929662467,133.1838457476785,4.440226451053832,5.253822540032528,139.57764586480278,118.56235570467265,137.43557755647075,136.72900390625,137.72900390625
2134,135.63621520996094,129.76469094412667,129.18064702667795,133.40840696378083,4.227759937102888,5.068248811800363,139.9011885677274,119.62819332052595,135.57418828705275,133.64349365234375,134.64349365234375
2135,135.82478550502233,130.33138129824684,129.53904333524866,133.50234392202728,3.9633005867786153,4.888634656874527,140.1086506119959,120.55411198449778,134.53739422393946,133.0189971923828,134.0189971923828
2136,136.42342703683036,131.01657140822638,130.1614100706151,134.18521320520696,4.023803134591873,4.8503079342036495,140.7171872766337,121.31595553981909,136.80646091644337,136.9409942626953,137.9409942626953
2137,137.60114179338728,131.98392849876768,131.18167581046538,135.68518002880492,4.503504218339543,5.274942690381152,142.53381387953,121.43404311800538,141.55881867787696,142.93499755859375,143.93499755859375
2138,138.50035531180245,132.9646428426107,132.16932940892337,137.043613776627,4.874284367703638,5.453751245138825,143.87214533288835,122.05714035233304,143.52960581905793,143.51499938964844,144.51499938964844
2139,140.804927280971,134.3847383771624,133.7013794530685,139.47567396558944,5.774294512520925,6.5422885639737,147.4693155051098,121.300161249215,149.74453860960784,151.8520050048828,152.8520050048828
2140,142.55878339494978,135.61597624279204,134.90912887907098,141.09572361766823,6.18659473859725,7.024848029184429,149.6656723011609,121.56628018442319,149.918844005937,149.00599670410156,150.00599670410156
2141,145.33192661830358,136.9422854468936,136.3273783114228,143.0895347866147,6.762156475191915,7.931105423448019,152.80449629378964,121.08007459999757,152.6766121458592,153.0554962158203,154.0554962158203
2142,148.91942705426897,138.32745216006325,138.01657252866116,145.55752947238793,7.540956943726769,9.212007354583404,156.75146686923006,119.90343745089643,156.9798708780468,158.13150024414062,159.13150024414062
