ds,yhat,yhat_upper,yhat_lower
2012-01-03,6.808257234335432,19.486105242326207,-6.5535445114554784
2012-01-04,6.993756204785825,21.862894016563747,-7.391255131331731
2012-01-05,7.1064782684658745,20.38989664405322,-6.713558462892768
2012-01-06,7.017323086612338,21.38599976963136,-6.638344752786145
2012-01-09,7.464024864380208,22.195409564271092,-7.301671517602604
2012-01-10,7.774795170728683,21.012276330717885,-5.5247578087296185
2012-01-11,7.936184374972457,22.171316142967513,-6.117871384281614
2012-01-12,8.01823452762245,21.399838641831586,-6.145946761290126
2012-01-13,7.892945139808348,22.40663426400204,-6.452515289674047
2012-01-17,8.474025413865421,22.945226091302022,-5.26451105240344
2012-01-18,8.58884071691838,22.14402211190344,-4.27383200370941
2012-01-19,8.625293174907812,22.49314384829508,-4.375233368278195
2012-01-20,8.456187660190071,22.450190299308794,-6.088332567335101
2012-01-23,8.658392785962784,22.535075809750783,-5.3349381715661774
2012-01-24,8.89112159383599,22.63271360816177,-5.206412851364373
2012-01-25,8.97818800846166,23.011456589960474,-4.349365747710913
2012-01-26,8.990472219470782,23.458995514288244,-4.823440156050659
2012-01-27,8.800555454993853,22.116450187741325,-4.274228388494368
2012-01-30,8.956381751724852,23.26957027561284,-4.784068023535158
2012-01-31,9.177146465184807,23.12772174410071,-3.8124239574211836
2012-02-01,9.25289446831432,23.869990305708747,-4.886712026293505
2012-02-02,9.253788654555784,23.515466198696373,-5.054233169014748
2012-02-03,9.051689356814412,22.950323976876483,-4.732361476743173
2012-02-06,9.159448514354432,23.605973544936564,-3.955452006795116
2012-02-07,9.358398788803118,22.97848237025812,-3.6260525175038296
2012-02-08,9.408679352381421,24.613738888415945,-4.77440809381124
2012-02-09,9.380163589302125,23.354275745898423,-3.903809277574395
2012-02-10,9.144548222205591,23.786355945456265,-4.9143063044433
2012-02-13,9.127488437499373,22.601556224658076,-5.398297776549155
2012-02-14,9.277533359251686,23.237425317602117,-3.984683624517396
2012-02-15,9.2759723847022,24.284480906617432,-3.544874125106967
2012-02-16,9.193277336458198,23.50096650258252,-4.251694487776061
2012-02-17,8.901837517664358,22.32801430432742,-5.251892353109691
2012-02-21,8.811185278767223,23.001360425811093,-4.686350845735798
2012-02-22,8.757931719161277,21.822919618219498,-4.729504377105913
2012-02-23,8.62693840361968,23.073041573175146,-5.551507057532558
2012-02-24,8.291381469143005,22.05015704287506,-6.387424631633901
2012-02-27,8.004382999292188,21.997703908745393,-7.359078926151087
2012-02-28,8.07900780330006,21.15576858734526,-5.631229094441484
2012-02-29,8.011342252117004,21.96091100871673,-5.895776378930656
2012-03-01,7.8728607124985395,21.647757415380344,-6.99198777841503
2012-03-02,7.536776035072824,21.75756532570835,-6.067891429729474
2012-03-05,7.288477794399512,20.96802494017754,-6.425187438147176
2012-03-06,7.388377816810028,21.594244398896,-7.5623012331489115
2012-03-07,7.351410948209084,21.718188367391026,-6.562028474978378
2012-03-08,7.248482629124867,22.2722835198491,-5.918307509433176
2012-03-09,6.952188116854165,20.497505629972856,-8.00295073801754
2012-03-12,6.842185583621687,20.044864187889452,-6.575937597591831
2012-03-13,6.992357160473753,21.233377248451646,-7.497792807472516
2012-03-14,7.006760657400578,20.18413040195163,-5.954740661414709
2012-03-15,6.955791747506931,21.870583088859984,-6.742580474690197
2012-03-16,6.71161031884111,20.272545687600754,-6.176867349515332
2012-03-19,6.755819595572476,21.757478094591377,-6.816086820509045
2012-03-20,6.956136091074525,20.65060015234942,-6.7675835810325315
2012-03-21,7.0200130037318536,22.70800376141262,-6.8943827448633535
2012-03-22,7.017950516967595,20.589415597883864,-6.810942639500521
2012-03-23,6.822286535957554,20.69539705022585,-6.85665232860914
2012-03-26,7.012300793139364,20.94029368720466,-6.886704721070578
2012-03-27,7.262314409624477,20.842397059937277,-5.873145342435909
2012-03-28,7.37694928270905,20.979718690358727,-6.276212561259505
2012-03-29,7.426975594845665,20.084655371542556,-6.688360488342252
2012-03-30,7.284947928974412,21.244652501030586,-6.463886469600427
2012-04-02,7.646141817899878,21.34453869893168,-5.991473673261795
2012-04-03,7.956466506569573,22.49356946742877,-6.09699784396002
2012-04-04,8.132661197849622,22.22197357392052,-6.261529839979267
2012-04-05,8.245081146952675,22.41018329382184,-5.6249669140969285
2012-04-09,8.709489779231486,23.669055374348368,-4.614749861863302
2012-04-10,9.075896920210324,22.7470625038157,-4.887142873379414
2012-04-11,9.304114471790475,23.239449172760807,-4.443423435131398
2012-04-12,9.463414408895515,22.891442311589483,-4.2634161376430875
2012-04-13,9.424707806297993,24.160063240873452,-4.81886411343582
2012-04-16,10.0422477636587,24.145438353600344,-4.475134922309169
2012-04-17,10.413977873714469,24.740065067265384,-4.620600128499963
2012-04-18,10.636529647175257,24.383374716411907,-3.420507219975064
2012-04-19,10.778580513640803,24.159256663633705,-3.0472479626072664
2012-04-20,10.710626244983494,24.302590182851887,-2.974527224866894
2012-04-23,11.167367671946817,24.367642591343948,-3.430739973643203
2012-04-24,11.461913557539852,25.212214581649736,-2.195617186835231
2012-04-25,11.596455661680451,25.603471290945826,-1.6109823481682592
2012-04-26,11.640599705129864,24.94214500568955,-1.5274449528547998
2012-04-27,11.465990000450585,25.120481436845708,-1.6158298157317477
2012-04-30,11.564689556098639,25.461658930215318,-2.1810803509504377
2012-05-01,11.732806201844438,25.851421321550777,-2.4223583703353486
2012-05-02,11.740478177562894,24.767947690678135,-1.7738108791968736
2012-05-03,11.659273780788467,26.12478028985208,-1.7973093812912582
2012-05-04,11.36281360777653,25.844041003737132,-1.3597544060570081
2012-05-07,11.136055614119822,25.79152810635867,-3.064926132913895
2012-05-08,11.214916360492193,25.23888319537459,-1.8303173084718551
2012-05-09,11.145493635517276,25.485259450319116,-2.809545428558769
2012-05-10,11.000578742269749,25.791307428146794,-2.6193937311177655
2012-05-11,10.654771023552588,24.098026011923263,-1.825234614767455
2012-05-14,10.371837137143734,24.463442199240543,-4.180684724584398
2012-05-15,10.463037288753018,24.30807511450806,-3.6167313851052945
2012-05-16,10.420967476727503,25.19228596969599,-3.8179144745477385
2012-05-17,10.317674827162154,24.507976095772158,-4.211359300297216
2012-05-18,10.026745964278764,24.456973035101615,-4.609448066881195
2012-05-21,9.974353325441285,23.53388460629724,-4.573078963969994
2012-05-22,10.158878679657093,24.743262960021827,-3.4521072011263585
2012-05-23,10.2152884574457,22.531630121985952,-3.339054019036846
2012-05-24,10.21366424968936,24.262942683252287,-4.603346977049624
2012-05-25,10.0256137742542,24.508597054604046,-2.6332566066678136
2012-05-29,10.543851594961192,24.699351111266182,-3.8397301073483145
2012-05-30,10.682173415871711,24.479998278767955,-3.899548809214823
2012-05-31,10.753967992687318,23.593796610663013,-3.883968872967158
2012-06-01,10.62993408026335,25.106857747635946,-3.0209868545836245
2012-06-04,11.005101815973275,25.300810083885143,-3.557264574281229
2012-06-05,11.301774436733933,25.14105661256574,-2.234027009281183
2012-06-06,11.453272891509494,25.12722971279068,-2.143945153756983
2012-06-07,11.529278117859683,25.272373275168995,-2.4953391605461483
2012-06-08,11.401487214101294,25.713469709366855,-1.9178428466434099
2012-06-11,11.730449387174811,24.73305999748906,-1.428655422259388
2012-06-12,12.00506203811609,25.317883738408565,-2.0611644264617985
2012-06-13,12.133862735896534,26.20296670648755,-1.2004943543138742
2012-06-14,12.188169355495488,27.124699048812733,-1.4340125743658683
2012-06-15,12.041264848537844,26.183214900540246,-2.233851127120044
2012-06-18,12.342538048018051,26.167844457672036,-2.6549658656012274
2012-06-19,12.621656919570423,26.663130643666086,-0.6547739338513265
2012-06-20,12.763201797546646,27.017058752331067,-2.3049732911716565
2012-06-21,12.83891939019802,27.013794964295066,-1.753601719317315
2012-06-22,12.722231728044651,26.410960172625884,-1.1615110223606726
2012-06-25,13.163877359268843,27.28537303722663,-1.0714264993233091
2012-06-26,13.503841706571096,27.814131302426897,-0.4591995142461415
2012-06-27,13.711305056358198,27.855137765345532,-1.6832630594597762
2012-06-28,13.856473128174688,27.905070828132853,0.5164010488360992
2012-06-29,13.811026346406042,27.02406067502301,-1.0084823145922435
2012-07-02,14.457583717899666,28.355648248617634,0.18190681166499945
2012-07-03,14.856014182721507,28.84674975142783,1.5675521387367415
2012-07-05,15.298449575239143,28.469413179800313,0.6257398286079452
2012-07-06,15.280524903278135,28.670734820012285,0.865447554494544
2012-07-09,15.92116570021906,29.390408790694057,2.4592994115059845
2012-07-10,16.28435834588077,30.915399077669242,1.9827645454009235
2012-07-11,16.48893084276667,30.271490500768408,2.571982144963001
2012-07-12,16.602972871837824,31.13947295331376,2.164703499920331
2012-07-13,16.496558931193903,30.02168963913426,3.5298747749927193
2012-07-16,16.773795338601744,29.970689344941047,3.4931303152443762
2012-07-17,16.987643351107575,30.342339116680293,2.719672635619025
2012-07-18,17.031811046676538,31.134873523353974,3.463090754341558
2012-07-19,16.97664636583987,29.91762765146347,2.865829626350643
2012-07-20,16.69471360589025,29.763825572479444,2.691451187116151
2012-07-23,16.43485633554137,29.64210013027765,2.051726418778576
2012-07-24,16.475703371693537,29.426182079929156,1.8983360692612141
2012-07-25,16.35467011523509,29.036537742379227,3.300732968784041
2012-07-26,16.144860411139845,29.35859543662216,1.5932133264122057
2012-07-27,15.72143736376912,29.612452398560748,2.08063402743921
2012-07-30,15.138564097188691,29.02536568036518,2.1878537925799217
2012-07-31,15.11158784066869,29.26741686711068,1.4001707633184624
2012-08-01,14.944797331183388,27.77388622969056,1.8335176217509797
2012-08-02,14.711996484145391,28.454818991670763,0.984671224225022
2012-08-03,14.288632667882494,27.43704596010397,-0.3611410412709674
2012-08-06,13.840753548998267,27.305874260550336,0.2593682862887009
2012-08-07,13.90049274604348,28.28082965276303,0.42714640320564223
2012-08-08,13.83870005065736,27.715948619405168,-0.5497033142507735
2012-08-09,13.727114647629586,27.68517486774008,-0.4768691128659768
2012-08-10,13.438826702275389,27.443408542897583,-0.49644479636624383
2012-08-13,13.452381813719022,28.359442060545128,0.6641513452280047
2012-08-14,13.674927829273763,28.03355737677199,-1.547772261242774
2012-08-15,13.775391324439974,27.74337938762682,-1.2706513268055182
2012-08-16,13.822498246853014,27.679797366097453,-0.5654461105822329
2012-08-17,13.686417095566464,27.97186108364473,-1.1336157726777751
2012-08-20,14.090973397619496,28.069427504550536,0.18251069064943565
2012-08-21,14.414257018059654,28.665715014272592,0.5852961933941571
2012-08-22,14.597534836635258,28.624074006571135,0.26133325243511696
2012-08-23,14.708170184935542,28.12144614168015,-0.726227287901583
2012-08-24,14.615344653659868,27.54738246358398,0.1912926161656301
2012-08-27,15.024041652382435,28.762559476705427,1.0780184061235203
2012-08-28,15.30746809553098,29.13850119554492,1.3463248166760848
2012-08-29,15.431540722992636,30.95081270825949,1.1012253750779197
2012-08-30,15.464916385825457,29.548341791080706,1.282307260437209
2012-08-31,15.278385100009901,29.27319200070139,1.167671286817911
2012-09-04,15.47227515814751,29.502932883201836,1.6584667167644709
2012-09-05,15.452798821574072,29.112804619937087,1.9669427939888988
2012-09-06,15.340142396726517,28.9073840109119,1.2836921481942343
2012-09-07,15.00769551800632,28.272972352104105,1.1156453903988264
2012-09-10,14.644450652908482,28.61344812241785,0.6366142775180273
2012-09-11,14.668154301891642,28.19746441332605,-0.5973399568569092
2012-09-12,14.538791182967831,27.83286488901787,0.9131638757568726
2012-09-13,14.329244988389547,27.829598771934833,-0.3965687717099202
2012-09-14,13.914244374033585,27.732338698383252,-0.5909207544196099
2012-09-17,13.398144700017122,29.073210112622636,-0.8462489942117357
2012-09-18,13.40383389613897,28.18043914767401,-0.13121053672218297
2012-09-19,13.272794188319127,27.262301882109398,-2.039150957302879
2012-09-20,13.07736912819754,27.4325368703887,-0.9472531820322069
2012-09-21,12.691461982393145,25.756956693991285,-1.0362875595599712
2012-09-24,12.340465684968244,26.686776190884444,-2.5913644376762535
2012-09-25,12.422088343393986,26.07769391531493,-0.8725003466522481
2012-09-26,12.37451438419468,26.711564925765092,-2.566859126805089
2012-09-27,12.268179832057276,27.310401180883392,-1.9340402314426275
2012-09-28,11.975031895341285,25.92812119458398,-1.7024929545610958
2012-10-01,11.904883979933905,24.849622878361185,-2.199130853107686
2012-10-02,12.074810355655194,27.010228961976015,-2.309012361774943
2012-10-03,12.110080606319483,25.060692395347235,-3.266156997919327
2012-10-04,12.079684666128896,25.965329251820883,-1.766450794288581
2012-10-05,11.854318623018475,26.241420370483905,-2.787586512555959
2012-10-08,11.929398428188044,26.122640935381668,-2.8079927353906187
2012-10-09,12.126503286147791,26.746935397583183,-1.4935455850897212
2012-10-10,12.178028925087135,25.156694366930118,-1.6961089849696924
2012-10-11,12.153151294205566,25.77953090321599,-2.066601243470043
2012-10-12,11.922988633138523,25.950004926887885,-0.7803981923240129
2012-10-15,11.929223055082582,26.53107014273221,-2.258635815183279
2012-10-16,12.0886280970072,25.54914229842572,-1.9435134815882966
2012-10-17,12.097149236005642,26.060311307512816,-2.1433696839877032
2012-10-18,12.02536544053192,26.410359273772357,-1.708809358960812
2012-10-19,11.745859923795543,24.966650424428142,-2.665188005339546
2012-10-22,11.60431858262218,26.058561585259383,-2.4356073811846852
2012-10-23,11.719347820478692,25.12654164664319,-2.3677884670078533
2012-10-24,11.688142457903107,25.697918212582902,-2.7926752123892418
2012-10-25,11.582429651976017,25.853654164323444,-2.516458792281728
2012-10-26,11.275786903105246,25.228745254992244,-2.8746505212809073
2012-10-31,11.20592904533341,25.3187395924305,-2.9441472106211677
2012-11-01,11.123911303389951,26.427278728089796,-2.1189356311622376
2012-11-02,10.849135409722656,24.92966857162718,-3.8556066387127523
2012-11-05,10.811373206652267,24.28666889595251,-4.983940262688268
2012-11-06,10.988916610875124,25.20373690371879,-2.532478533690784
2012-11-07,11.032321938283804,24.954284276646103,-2.996439426645997
2012-11-08,11.01171188846254,24.959842090483175,-2.377812032773933
2012-11-09,10.798781999837383,24.1316195456575,-2.8053415406792803
2012-11-12,10.934519031207408,25.71076119851104,-2.6206092740433258
2012-11-13,11.16112154341576,24.699986355262382,-2.5735123644493343
2012-11-14,11.246994658066823,25.81533720884434,-2.900982113792182
2012-11-15,11.261107735808743,24.82432201876189,-2.491065212635841
2012-11-16,11.07415423166868,24.543067349431425,-4.085629179519403
2012-11-19,11.22805804467279,24.866036201402665,-1.7460724395466967
2012-11-20,11.439402210825078,24.922614788538237,-2.118266715179989
2012-11-21,11.499221071663543,26.136372838450075,-2.112602047951395
2012-11-23,11.24316384840119,24.0761218413405,-3.0528056252992526
2012-11-26,11.20509443397008,23.978210034774687,-3.984113510688426
2012-11-27,11.338782813349443,25.002502221051518,-2.175541373186094
2012-11-28,11.316377228760418,25.436678864988437,-1.7268997876180203
2012-11-29,11.208662960172553,24.780883099119205,-2.3920615449849603
2012-11-30,10.88846708350709,24.78369748453706,-2.6873414080425677
2012-12-03,10.599370117319912,24.640476831487327,-4.435060076173514
2012-12-04,10.657974944734432,24.93426524251278,-3.0493374509885887
2012-12-05,10.56747457243124,24.24945718130872,-3.6440484396272983
2012-12-06,10.400119324994865,24.16258855971206,-3.2292882039304778
2012-12-07,10.030057994360767,23.314672424605043,-3.7375497537630293
2012-12-10,9.66054045889452,24.205919693060277,-4.634066660461099
2012-12-11,9.717859852184299,23.46505083752218,-5.017272121850954
2012-12-12,9.639490709672534,23.888499100250854,-4.029196871662578
2012-12-13,9.497713091680914,23.173652503161986,-5.368749094501992
2012-12-14,9.1664599464468,23.5283469008793,-3.9775623995962
2012-12-17,8.987040230418426,22.792769211894523,-3.992196221496604
2012-12-18,9.129285491859893,24.344402283223246,-5.529751168389216
2012-12-19,9.144641675763893,22.909286378422646,-5.624273502919263
2012-12-20,9.103962027487118,23.160054581569064,-4.97436544066995
2012-12-21,8.87963340134644,22.498606537725763,-5.27481220918462
2012-12-24,9.039371811620022,24.107696852721325,-5.420305398296348
2012-12-26,9.421469365262405,24.230621051050072,-5.889206551141981
2012-12-27,9.487652450702681,22.820856515676923,-5.039506606444727
2012-12-28,9.364615447306385,22.910443286442426,-5.205056670697606
2012-12-31,9.782404646542082,23.97924086912243,-4.821677298472021
2013-01-02,10.289074171010476,24.59795705690439,-4.1181449576652955
2013-01-03,10.40157627314385,24.366675834654732,-3.035010313866164
2013-01-04,10.313939990764556,23.673969285758577,-3.8193818937761312
2013-01-07,10.774012777329904,24.158685371246246,-3.287416538264083
2013-01-08,11.091541628244642,25.326328199994325,-1.7875940353662123
2013-01-09,11.26049162400225,26.477551171222782,-1.1040754000886346
2013-01-10,11.350688957241744,25.868030081772957,-2.8887700099926477
2013-01-11,11.233920370487372,24.832893327273535,-3.7411082106630023
2013-01-14,11.576689786198694,25.87910808036872,-2.1854081381325883
2013-01-15,11.848952010340701,26.946860350627457,-2.120232987707949
2013-01-16,11.971412541602287,26.343538674263577,-2.4466055803207123
2013-01-17,12.014931556917375,25.36276154080078,-1.6789362767561598
2013-01-18,11.85224095096463,26.22381093485077,-2.0164564047899582
2013-01-22,12.305879565397806,26.47550500447489,-2.1961712898244192
2013-01-23,12.396018417635004,25.57715034376602,-1.263136636582115
2013-01-24,12.410874885417899,26.498616126314346,-1.0487260429217433
2013-01-25,12.22313646713958,26.503641700624378,-1.6521237089327987
2013-01-28,12.384388179085922,26.870655366434026,-0.9605701694808461
2013-01-29,12.607042380139957,26.09367840774575,-1.3665295082082003
2013-01-30,12.6849463785721,26.441709835000285,-1.9381166438230293
2013-01-31,12.68838958514269,25.946962017310696,-2.523958979547822
2013-02-01,12.489346904185396,26.05203739163054,-1.6989421391729254
2013-02-04,12.610213090533618,27.03866636300569,-1.3255553955129737
2013-02-05,12.815037271889338,26.694386128255505,-0.7467874079237175
2013-02-06,12.871981030246513,27.223709330280872,-1.1542681099363943
2013-02-07,12.850901906119985,27.22168146639226,-0.9766486944746571
2013-02-08,12.623455303168292,26.797536609387283,-1.3540482086245753
2013-02-11,12.634521769485819,26.204186499023297,-1.3619447355722714
2013-02-12,12.79478501869095,27.123126738846455,-2.233313104813054
2013-02-13,12.803638480136204,26.161888477433394,-2.077253728838549
2013-02-14,12.731399788214338,26.15809025705465,-0.726933251702746
2013-02-15,12.450296803534103,26.9845194739578,-0.33700080394516585
2013-02-19,12.396546603468405,25.601690482028967,-1.1667255718084075
2013-02-20,12.350646746375622,26.16265423332021,-0.9772363162998677
2013-02-21,12.225996254381847,25.09671744427475,-1.5633982671489988
2013-02-22,11.895670322583559,26.301638586264783,-2.1884453103999957
2013-02-25,11.61701268277821,25.80540697774957,-2.055502026504802
2013-02-26,11.691857757360447,25.524054514608615,-2.0558125305297086
2013-02-27,11.623137803715931,25.787500154020247,-1.657219781253875
2013-02-28,11.4823651172785,25.283742111723246,-1.441927234191006
2013-03-01,11.142811589468952,25.806025319437364,-2.5225567086703653
2013-03-04,10.87789719091192,24.570633765052833,-2.5354022271159624
2013-03-05,10.970541889544492,25.49038874538877,-2.6532496307281117
2013-03-06,10.925659868165628,24.629763500698186,-2.3494255223330507
2013-03-07,10.814281019730677,25.96633671671201,-3.534462050107339
